                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.71628,                0.52885,                0.76583,                0.47522,                0.55643,                0.50727,                0.43836,                0.52901,                 1.3171,                 0.6507,               0.005149,               0.005149,               0.005149
                     52,                0.71118,                0.52151,                0.75662,                0.47687,                0.55648,                0.50845,                0.44005,                0.52711,                  1.315,                0.64886,                0.00505,                0.00505,                0.00505
                     53,                0.70759,                0.51602,                0.75923,                0.48472,                0.54803,                0.50937,                 0.4412,                0.52565,                 1.3126,                0.64798,               0.004951,               0.004951,               0.004951
                     54,                0.70456,                 0.5122,                0.75615,                0.48078,                0.55698,                0.50996,                0.44222,                0.52443,                 1.3096,                0.64683,               0.004852,               0.004852,               0.004852
                     55,                0.70195,                0.50787,                0.75388,                0.48968,                 0.5493,                 0.5115,                0.44412,                 0.5238,                 1.3075,                0.64627,               0.004753,               0.004753,               0.004753
                     56,                0.69916,                0.50424,                0.75354,                0.49107,                0.54101,                0.51228,                0.44452,                0.52305,                 1.3058,                0.64565,               0.004654,               0.004654,               0.004654
                     57,                 0.6971,                0.49935,                0.75022,                0.47098,                0.57723,                0.51221,                0.44468,                0.52252,                 1.3067,                0.64503,               0.004555,               0.004555,               0.004555
                     58,                 0.6953,                0.49839,                0.74948,                0.48102,                0.55963,                0.51295,                0.44573,                0.52207,                  1.307,                0.64465,               0.004456,               0.004456,               0.004456
                     59,                0.69248,                0.49386,                0.74958,                0.48924,                0.55456,                0.51365,                0.44668,                0.52112,                 1.3064,                0.64427,               0.004357,               0.004357,               0.004357
                     60,                0.69057,                0.49046,                0.74752,                0.50074,                0.54601,                0.51399,                0.44696,                0.52014,                 1.3063,                0.64381,               0.004258,               0.004258,               0.004258
                     61,                0.68767,                0.48769,                0.74498,                0.50846,                0.54076,                0.51421,                0.44775,                0.51905,                 1.3072,                  0.643,               0.004159,               0.004159,               0.004159
                     62,                0.68618,                0.48472,                0.74605,                0.51192,                0.54077,                0.51387,                0.44753,                 0.5183,                 1.3077,                0.64245,                0.00406,                0.00406,                0.00406
                     63,                0.68365,                0.48028,                0.74078,                0.51141,                0.54367,                  0.515,                0.44907,                0.51739,                 1.3058,                0.64133,               0.003961,               0.003961,               0.003961
                     64,                 0.6831,                0.47981,                  0.743,                0.49036,                0.55935,                0.51562,                0.44969,                0.51667,                 1.3051,                 0.6407,               0.003862,               0.003862,               0.003862
                     65,                0.67983,                 0.4763,                0.73819,                0.48955,                0.55847,                0.51509,                0.44933,                  0.516,                 1.3054,                 0.6398,               0.003763,               0.003763,               0.003763
                     66,                 0.6783,                0.47089,                0.73753,                0.48948,                0.56052,                0.51557,                0.45009,                0.51517,                 1.3063,                0.63905,               0.003664,               0.003664,               0.003664
                     67,                0.67571,                0.46843,                0.73724,                0.47165,                 0.5808,                0.51561,                 0.4504,                 0.5146,                 1.3067,                0.63859,               0.003565,               0.003565,               0.003565
                     68,                 0.6742,                0.46502,                0.73734,                0.47297,                0.58264,                0.51581,                0.45051,                0.51385,                 1.3065,                0.63806,               0.003466,               0.003466,               0.003466
                     69,                0.67128,                0.46185,                0.73326,                0.47908,                 0.5754,                0.51499,                0.44984,                0.51342,                 1.3069,                0.63755,               0.003367,               0.003367,               0.003367
                     70,                0.66902,                 0.4581,                0.73209,                0.48078,                0.56891,                0.51462,                0.44961,                0.51285,                 1.3079,                0.63696,               0.003268,               0.003268,               0.003268
                     71,                0.66751,                0.45518,                0.73055,                0.48235,                 0.5603,                0.51462,                0.44976,                0.51219,                 1.3072,                0.63639,               0.003169,               0.003169,               0.003169
                     72,                0.66609,                0.45379,                0.72852,                0.48427,                0.56789,                0.51539,                0.45045,                0.51192,                 1.3068,                0.63589,                0.00307,                0.00307,                0.00307
                     73,                0.66393,                 0.4483,                 0.7252,                 0.4898,                0.56032,                0.51548,                0.45075,                0.51169,                 1.3079,                0.63533,               0.002971,               0.002971,               0.002971
                     74,                0.66041,                0.44541,                0.72711,                0.46689,                0.60374,                0.51652,                0.45176,                0.51113,                 1.3082,                0.63483,               0.002872,               0.002872,               0.002872
                     75,                0.65878,                0.44297,                0.72629,                0.48876,                  0.563,                0.51547,                0.45098,                 0.5105,                 1.3104,                 0.6345,               0.002773,               0.002773,               0.002773
                     76,                0.65571,                0.43862,                0.72457,                0.47915,                0.57651,                0.51571,                0.45142,                0.50963,                 1.3116,                0.63395,               0.002674,               0.002674,               0.002674
                     77,                0.65526,                0.43642,                0.72241,                0.48172,                0.58237,                0.51575,                0.45153,                0.50896,                 1.3119,                0.63322,               0.002575,               0.002575,               0.002575
                     78,                0.65135,                0.43155,                0.72395,                0.46943,                0.59761,                0.51606,                0.45188,                0.50836,                 1.3137,                0.63282,               0.002476,               0.002476,               0.002476
                     79,                0.65024,                0.42891,                0.72238,                0.48228,                0.58337,                0.51556,                0.45157,                 0.5077,                  1.314,                 0.6324,               0.002377,               0.002377,               0.002377
                     80,                0.64724,                0.42502,                0.71798,                0.49306,                0.57678,                0.51587,                0.45206,                0.50704,                 1.3136,                0.63164,               0.002278,               0.002278,               0.002278
                     81,                 0.6445,                0.42096,                0.71754,                0.49396,                0.57815,                0.51624,                  0.452,                 0.5062,                 1.3132,                0.63087,               0.002179,               0.002179,               0.002179
                     82,                0.64193,                0.41607,                0.71599,                0.49227,                0.57664,                0.51682,                0.45262,                0.50537,                 1.3135,                0.63029,                0.00208,                0.00208,                0.00208
                     83,                0.63874,                0.41295,                0.71317,                 0.4895,                0.58712,                0.51765,                0.45367,                0.50485,                 1.3132,                0.62958,               0.001981,               0.001981,               0.001981
                     84,                0.63569,                0.40793,                0.71446,                0.49219,                0.58148,                0.51711,                0.45331,                0.50448,                 1.3149,                0.62942,               0.001882,               0.001882,               0.001882
                     85,                0.63233,                0.40404,                0.71336,                0.48933,                0.58726,                0.51648,                0.45259,                 0.5043,                  1.316,                0.62924,               0.001783,               0.001783,               0.001783
                     86,                0.63015,                0.40066,                0.71054,                0.46162,                0.62195,                0.51638,                0.45242,                0.50445,                 1.3177,                0.62906,               0.001684,               0.001684,               0.001684
